Scientific Name,Common Name,Where Listed,Region  ,ESA Listing Status  ,Group,State,,,,,,,,,,,,,,,,,
Gulo gulo luscus,North American wolverine,Wherever found,6,Threatened,Mammals,Washington,,,,,,,,,,,,,,,,,
Rana pretiosa,Oregon spotted frog,Wherever found,1,Threatened,Amphibians,Washington,,,,,,,,,,,,,,,,,
Eremophila alpestris strigata,Streaked Horned lark,Wherever found,1,Threatened,Birds,Washington,,,,,,,,,,,,,,,,,
Physaria douglasii ssp. tuplashensis,White Bluffs bladderpod,Wherever found,1,Threatened,Flowering Plants,Washington,,,,,,,,,,,,,,,,,
Euchloe ausonides insulanus,Island marble Butterfly,Wherever found,1,Endangered,Insects,Washington,,,,,,,,,,,,,,,,,
Eriogonum codium,Umtanum desert buckwheat,Wherever found,1,Threatened,Flowering Plants,Washington,,,,,,,,,,,,,,,,,
Coccyzus americanus,Yellow-billed Cuckoo,Western U.S. DPS,2,Threatened,Birds,Washington,,,,,,,,,,,,,,,,,
Euphydryas editha taylori,Taylor's (=whulge) Checkerspot,Wherever found,1,Endangered,Insects,Washington,,,,,,,,,,,,,,,,,
Thomomys mazama pugetensis,Olympia pocket gopher,Wherever found,1,Threatened,Mammals,Washington,,,,,,,,,,,,,,,,,
Thomomys mazama tumuli,Tenino pocket gopher,Wherever found,1,Threatened,Mammals,Washington,,,,,,,,,,,,,,,,,
Thomomys mazama yelmensis,Yelm pocket gopher,Wherever found,1,Threatened,Mammals,Washington,,,,,,,,,,,,,,,,,
Myotis sodalis,Indiana bat,Wherever found,3,Endangered,Mammals,Virginia,,,,,,,,,,,,,,,,,
Trichechus manatus,West Indian Manatee,Wherever found,4,Threatened,Mammals,Virginia,,,,,,,,,,,,,,,,,
Myotis grisescens,Gray bat,Wherever found,3,Endangered,Mammals,Virginia,,,,,,,,,,,,,,,,,
Corynorhinus (=Plecotus) townsendii virginianus,Virginia big-eared bat,Wherever found,5,Endangered,Mammals,Virginia,,,,,,,,,,,,,,,,,
Glaucomys sabrinus coloratus,Carolina northern flying squirrel,Wherever found,4,Endangered,Mammals,Virginia,,,,,,,,,,,,,,,,,
Picoides borealis,Red-cockaded woodpecker,Wherever found,4,Endangered,Birds,Virginia,,,,,,,,,,,,,,,,,
Charadrius melodus,Piping Plover,"[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.",5,Threatened,Birds,Virginia,,,,,,,,,,,,,,,,,
Sterna dougallii dougallii,Roseate tern,Northeast U.S. nesting population,5,Endangered,Birds,Virginia,,,,,,,,,,,,,,,,,
Eretmochelys imbricata,Hawksbill sea turtle,Wherever found,4,Endangered,Reptiles,Virginia,,,,,,,,,,,,,,,,,
Dermochelys coriacea,Leatherback sea turtle,Wherever found,4,Endangered,Reptiles,Virginia,,,,,,,,,,,,,,,,,
Lepidochelys kempii,Kemp's ridley sea turtle,Wherever found,2,Endangered,Reptiles,Virginia,,,,,,,,,,,,,,,,,
Plethodon shenandoah,Shenandoah salamander,Wherever found,5,Endangered,Amphibians,Virginia,,,,,,,,,,,,,,,,,
Erimonax monachus,Spotfin Chub,"Wherever found, except where listed as an experimental population",4,Threatened,Fishes,Virginia,,,,,,,,,,,,,,,,,
Percina rex,Roanoke logperch,Wherever found,5,Endangered,Fishes,Virginia,,,,,,,,,,,,,,,,,
Erimystax cahni,Slender chub,Wherever found,4,Threatened,Fishes,Virginia,,,,,,,,,,,,,,,,,
Noturus flavipinnis,Yellowfin madtom,"Wherever found, except where listed as an experimental population",4,Threatened,Fishes,Virginia,,,,,,,,,,,,,,,,,
Phoxinus cumberlandensis,Blackside dace,Wherever found,4,Threatened,Fishes,Virginia,,,,,,,,,,,,,,,,,
Etheostoma percnurum,Duskytail darter,Wherever found,4,Endangered,Fishes,Virginia,,,,,,,,,,,,,,,,,
Villosa perpurpurea,Purple bean,Wherever found,5,Endangered,Clams,Virginia,,,,,,,,,,,,,,,,,
Theliderma sparsa,Appalachian monkeyface (pearlymussel),Wherever found,5,Endangered,Clams,Virginia,,,,,,,,,,,,,,,,,
Theliderma intermedia,Cumberland monkeyface (pearlymussel),Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams,Virginia,,,,,,,,,,,,,,,,,
Lampsilis abrupta,Pink mucket (pearlymussel),Wherever found,3,Endangered,Clams,Virginia,,,,,,,,,,,,,,,,,
Lemiox rimosus,Birdwing pearlymussel,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams,Virginia,,,,,,,,,,,,,,,,,
Dromus dromas,Dromedary pearlymussel,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams,Virginia,,,,,,,,,,,,,,,,,
Pegias fabula,Littlewing pearlymussel,Wherever found,4,Endangered,Clams,Virginia,,,,,,,,,,,,,,,,,
Fusconaia cuneolus,Finerayed pigtoe,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams,Virginia,,,,,,,,,,,,,,,,,
Pleurobema plenum,Rough pigtoe,Wherever found,4,Endangered,Clams,Virginia,,,,,,,,,,,,,,,,,
Fusconaia cor,Shiny pigtoe,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams,Virginia,,,,,,,,,,,,,,,,,
Quadrula cylindrica strigillata,Rough rabbitsfoot,Wherever found,5,Endangered,Clams,Virginia,,,,,,,,,,,,,,,,,
Epioblasma florentina walkeri (=E. walkeri),Tan riffleshell,Wherever found,4,Endangered,Clams,Virginia,,,,,,,,,,,,,,,,,
Epioblasma brevidens,Cumberlandian combshell,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams,Virginia,,,,,,,,,,,,,,,,,
Epioblasma capsaeformis,Oyster mussel,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams,Virginia,,,,,,,,,,,,,,,,,
Hemistena lata,Cracking pearlymussel,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams,Virginia,,,,,,,,,,,,,,,,,
Parvaspina collina,James spinymussel,Wherever found,5,Endangered,Clams,Virginia,,,,,,,,,,,,,,,,,
Alasmidonta heterodon,Dwarf wedgemussel,Wherever found,5,Endangered,Clams,Virginia,,,,,,,,,,,,,,,,,
Cyprogenia stegaria,Fanshell,Wherever found,4,Endangered,Clams,Virginia,,,,,,,,,,,,,,,,,
Polygyriscus virginianus,Virginia fringed mountain snail,Wherever found,5,Endangered,Snails,Virginia,,,,,,,,,,,,,,,,,
Neonympha mitchellii mitchellii,Mitchell's satyr Butterfly,Wherever found,3,Endangered,Insects,Virginia,,,,,,,,,,,,,,,,,
Habroscelimorpha dorsalis dorsalis,Northeastern beach tiger beetle,Wherever found,5,Threatened,Insects,Virginia,,,,,,,,,,,,,,,,,
